Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2022-07-24T02:00:00+00:00",19.28,5.75,214.21,10.29,0.19,232.8,5.71,24.14,270,0.04,18.01
"2022-07-24T03:00:00+00:00",19.25,5.76,213.36,10.18,0.19,229.7,5.8,24.14,270,0.03,18.05
"2022-07-24T04:00:00+00:00",19.22,5.56,216.13,9.55,0.19,227,5.91,24.14,270,0.02,18.14
"2022-07-24T06:00:00+00:00",19.17,5.17,221.67,7.34,0.2,223.8,5.98,24.14,90,0.05,18.47
"2022-07-24T07:00:00+00:00",19.15,5,220.17,6.7,0.2,223.6,6.1,24.14,90,0.06,18.88
"2022-07-24T09:00:00+00:00",19.11,5.27,214.82,9.84,0.21,227,6.43,24.13,90,0.01,19.87
"2022-07-24T10:00:00+00:00",19.09,5.37,216.43,10.25,0.21,229.5,6.6,24.14,270,0.05,20.11
"2022-07-24T12:00:00+00:00",19.07,5.56,219.65,10.2,0.21,233,6.82,24.14,270,0.06,20.25
"2022-07-24T13:00:00+00:00",19.06,5.5,220.53,10.15,0.21,233.1,6.83,24.14,270,0.05,20.28
"2022-07-24T15:00:00+00:00",19.04,5.38,222.3,9.88,0.2,229.9,6.76,24.14,270,0.03,20.28
"2022-07-24T16:00:00+00:00",19.03,5.17,225.91,9.77,0.2,227.5,6.81,24.14,270,0.03,20.13
"2022-07-24T18:00:00+00:00",19.01,4.74,233.12,7.94,0.21,222.3,7.12,24.13,90,0.03,20.85
"2022-07-24T19:00:00+00:00",19.01,4.6,232.66,8.23,0.22,221.4,7.26,24.13,76.11,0.35,20.4
"2022-07-24T21:00:00+00:00",18.99,4.32,231.74,9.02,0.23,225.3,7.29,24.13,90,0.05,19.31
"2022-07-24T22:00:00+00:00",18.99,4.75,228.57,9.7,0.23,228.5,7.22,24.13,90,0.01,18.88
