Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2022-11-14T02:00:00+00:00",13.86,2.07,128.96,4.09,0.34,223.8,7.45,24.14,85.08,0.16,12.83
"2022-11-14T04:00:00+00:00",13.85,1.65,118.22,3.78,0.34,230.3,7.47,24.14,83.55,0.17,12.81
"2022-11-14T06:00:00+00:00",13.85,1.62,105.83,3.66,0.33,232.8,7.48,24.13,81.38,0.17,12.91
"2022-11-14T07:00:00+00:00",13.85,1.43,111.3,3.79,0.33,231.8,7.44,24.13,80.47,0.17,13.04
"2022-11-14T09:00:00+00:00",13.84,1.06,122.23,6.18,0.34,226.7,7.39,24.14,78.94,0.16,14.69
"2022-11-14T10:00:00+00:00",13.84,1.51,142.48,7.34,0.36,223.7,7.44,24.14,78.82,0.16,15.19
"2022-11-14T13:00:00+00:00",13.83,2.83,189.78,10.93,0.51,208,3.59,24.14,79.88,0.14,15.29
"2022-11-14T15:00:00+00:00",13.82,3.68,203.37,10.9,0.59,203.7,3.59,24.13,82.14,0.13,14.73
"2022-11-14T16:00:00+00:00",13.82,3.41,202.35,11.63,0.61,203,3.51,24.13,83.63,0.13,14.04
"2022-11-14T18:00:00+00:00",13.81,7.45,265.83,12.49,0.68,195.5,3.29,24.13,86.09,0.13,13
"2022-11-14T19:00:00+00:00",13.81,7.19,259.15,10.11,0.74,189.6,3.28,24.13,86.96,0.13,12.4
"2022-11-14T21:00:00+00:00",13.8,6.66,245.79,11.42,0.84,177.8,3.34,24.13,87.57,0.13,12.78
"2022-11-14T22:00:00+00:00",13.8,7.23,233.63,10.92,0.88,171.9,3.38,24.13,87.58,0.13,12.45
