Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2022-12-20T01:00:00+00:00",7.78,11.3,194.75,19.08,2.56,212.8,5.49,23.94,78.18,0.23,11.74
"2022-12-20T02:00:00+00:00",7.8,11.21,195.39,19.63,2.45,212.1,5.43,24.04,77.92,0.22,11.7
"2022-12-20T03:00:00+00:00",7.81,11.12,196.04,18.62,2.32,211.2,5.33,24.13,77.58,0.22,11.8
"2022-12-20T04:00:00+00:00",7.82,10.92,197.15,18.18,2.21,210,5.25,21.4,77.45,0.21,11.84
"2022-12-20T06:00:00+00:00",7.85,10.53,199.36,17.8,1.97,208.1,5.14,15.92,77.23,0.2,11.77
"2022-12-20T07:00:00+00:00",7.86,9.84,204.42,17.47,1.84,207.7,5.01,18.66,77.38,0.2,11.84
"2022-12-20T09:00:00+00:00",7.88,8.45,214.54,14.31,1.6,208.7,4.69,24.14,77.94,0.19,11.87
"2022-12-20T10:00:00+00:00",7.9,7.17,227.39,8.14,1.51,210.2,4.54,24.14,78.19,0.19,11.23
"2022-12-20T12:00:00+00:00",7.92,4.62,253.1,7.32,1.41,214.4,4.38,24.13,79.02,0.19,10.85
"2022-12-20T13:00:00+00:00",7.94,4.33,254.08,6.4,1.38,215.8,4.33,24.13,79.32,0.18,10.67
"2022-12-20T15:00:00+00:00",7.96,3.76,256.05,4.73,1.37,216.5,4.27,24.13,80.06,0.18,10.31
"2022-12-20T16:00:00+00:00",7.98,3.78,249.5,3.82,1.35,215.6,4.32,24.13,80.38,0.18,10.06
"2022-12-20T18:00:00+00:00",8,3.82,236.39,3.64,1.26,213.2,4.44,24.13,80.77,0.18,9.07
"2022-12-20T19:00:00+00:00",8.02,4.02,237.24,3.55,1.23,213.3,4.48,24.13,81.07,0.17,8.74
"2022-12-20T21:00:00+00:00",8.04,4.43,238.95,2.54,1.21,216.2,4.42,24.13,81.46,0.17,8.64
"2022-12-20T22:00:00+00:00",8.05,4.52,238.87,2.51,1.19,218.9,4.29,24.13,81.57,0.17,8.86
