Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2022-08-19T02:00:00+00:00",21.19,6.28,246.81,11.01,0.6,220.2,3.95,24.13,257.34,0.26,19.92
"2022-08-19T03:00:00+00:00",21.19,6.34,243.8,10.83,0.6,220.3,3.89,24.13,257.18,0.26,19.74
"2022-08-19T04:00:00+00:00",21.19,6.37,244.94,10.16,0.59,222.2,3.8,24.14,256.84,0.26,19.65
"2022-08-19T05:00:00+00:00",21.19,6.39,246.09,9.94,0.56,225.1,3.74,24.14,256.39,0.26,19.57
"2022-08-19T06:00:00+00:00",21.18,6.42,247.23,9.01,0.53,227.8,3.74,24.14,255.96,0.25,19.52
"2022-08-19T07:00:00+00:00",21.17,5.66,255.84,9.56,0.52,230.2,3.74,19.85,255.79,0.25,19.48
"2022-08-19T09:00:00+00:00",21.16,4.13,273.07,9.06,0.53,235.1,3.16,24.13,255.75,0.24,19.76
"2022-08-19T10:00:00+00:00",21.16,4.39,271.11,9.97,0.59,235.3,3,24.13,255.89,0.24,20.17
"2022-08-19T13:00:00+00:00",21.14,4.89,266.97,9.88,1,227.7,3.34,24.13,256.39,0.24,21.48
"2022-08-19T15:00:00+00:00",21.13,4.85,266.54,10.02,1.15,228.6,3.54,24.14,256.54,0.24,21.82
"2022-08-19T16:00:00+00:00",21.12,5.56,260.34,10.5,1.19,230.5,3.65,24.13,256.72,0.24,21.63
"2022-08-19T18:00:00+00:00",21.11,6.99,247.93,11.69,1.15,233.6,3.72,24.13,256.99,0.24,20.17
"2022-08-19T19:00:00+00:00",21.1,6.33,258.97,11.37,1.1,233.9,3.74,24.13,257.2,0.24,19.36
"2022-08-19T21:00:00+00:00",21.09,5,281.04,6.73,0.97,233.9,3.83,24.14,257.27,0.24,18.84
"2022-08-19T22:00:00+00:00",21.09,4.76,292.41,6,0.91,233.5,3.8,24.14,257.3,0.24,18.52
