Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2023-01-01T02:00:00+00:00",9.67,9.93,224.03,18.98,1.98,209.8,4.69,24.13,255.02,0.6,11.58
"2023-01-01T03:00:00+00:00",9.69,9.36,224.32,18.98,2.08,207.6,4.81,24.13,254.66,0.61,11.43
"2023-01-01T04:00:00+00:00",9.71,9.27,222.34,18.97,2.12,206.3,4.84,24.13,254.24,0.61,11.05
"2023-01-01T06:00:00+00:00",9.75,9.09,218.37,17.43,2.08,207.2,4.86,24.13,252.49,0.56,10.82
"2023-01-01T07:00:00+00:00",9.76,8.56,216.37,17.33,2.05,209.2,4.85,24.13,252.21,0.55,10.68
"2023-01-01T09:00:00+00:00",9.79,7.49,212.37,14.45,2.07,214.8,4.85,24.13,251.84,0.52,10.9
"2023-01-01T10:00:00+00:00",9.81,7.67,208.85,14.59,2.07,217.1,4.88,24.14,251.52,0.49,11.01
"2023-01-01T12:00:00+00:00",9.84,8.03,201.8,14.03,2.08,219.7,4.9,24.14,250.73,0.45,11.13
"2023-01-01T13:00:00+00:00",9.85,6.99,207.18,12.99,2.09,220,4.91,24.14,250.49,0.43,11.03
"2023-01-01T15:00:00+00:00",9.88,4.9,217.95,10.78,2.1,218.4,4.94,24.13,250.65,0.4,10.7
"2023-01-01T16:00:00+00:00",9.89,4.48,221.52,7.57,2.08,217.7,4.96,24.13,250.81,0.38,10.42
"2023-01-01T18:00:00+00:00",9.9,3.64,228.65,4.18,1.97,218.2,4.87,24.13,252.1,0.35,10.32
"2023-01-01T19:00:00+00:00",9.91,4.46,231,2.8,1.86,219.3,4.81,24.13,252.81,0.34,10.21
"2023-01-01T21:00:00+00:00",9.91,6.09,235.71,4.81,1.6,222.7,4.7,24.13,254.34,0.32,9.77
"2023-01-01T22:00:00+00:00",9.92,6.23,237.57,4.88,1.49,223.7,4.66,24.13,254.78,0.31,9.47
"2023-01-02T01:00:00+00:00",9.92,3.16,290.04,4.66,1.14,225.6,3.84,24.13,253.7,0.28,9.07
"2023-01-02T02:00:00+00:00",9.92,3.23,272.87,4.98,1.11,224.2,3.93,24.13,253.5,0.28,8.92
"2023-01-02T03:00:00+00:00",9.92,3.3,255.69,5.95,1.06,220.9,4.04,24.13,253.13,0.28,8.84
"2023-01-02T04:00:00+00:00",9.92,3.67,250.01,6.31,1.07,219.1,3.95,19.35,252.82,0.27,8.55
"2023-01-02T06:00:00+00:00",9.95,4.4,238.64,8.59,1.45,220.3,4.05,9.79,252.14,0.27,9.01
"2023-01-02T07:00:00+00:00",9.96,4.87,244.85,8.75,1.7,222.3,4.33,14.57,251.9,0.27,9.08
"2023-01-02T09:00:00+00:00",9.98,5.82,257.26,8.9,2.16,226.5,4.88,24.14,252.12,0.26,8.85
"2023-01-02T10:00:00+00:00",9.98,5.73,260.1,9.43,2.34,227.8,5.15,24.14,252.6,0.26,8.83
"2023-01-02T12:00:00+00:00",9.99,5.56,265.78,9.29,2.52,229.5,5.54,24.14,254.91,0.25,8.62
"2023-01-02T13:00:00+00:00",10,4.83,264.68,9.29,2.52,229,5.62,24.13,256.07,0.24,8.66
"2023-01-02T15:00:00+00:00",9.99,3.38,262.49,7.74,2.33,226,5.55,24.13,256.62,0.23,8.22
"2023-01-02T16:00:00+00:00",9.98,2.92,259.93,5.11,2.18,224.4,5.4,24.13,256.38,0.23,7.8
"2023-01-02T18:00:00+00:00",9.98,2,254.8,2.11,1.86,223.7,4.97,24.13,256,0.21,7.27
"2023-01-02T19:00:00+00:00",9.98,2.04,243.11,1.41,1.7,224.5,4.78,24.13,255.76,0.21,7.35
"2023-01-02T21:00:00+00:00",9.97,2.11,219.73,1.68,1.41,228.6,4.56,24.13,255.44,0.19,7.76
"2023-01-02T22:00:00+00:00",9.96,2.68,221.19,3.56,1.28,230.7,4.54,24.03,255.19,0.19,7.85
"2023-01-03T01:00:00+00:00",9.88,4.28,213.15,11.2,0.74,222.5,5.93,23.93,252.71,0.16,9.39
"2023-01-03T02:00:00+00:00",9.85,4.65,219.34,10.36,0.8,220.76,5.62,24.03,251.1,0.17,9.4
"2023-01-03T03:00:00+00:00",9.89,5.03,225.54,12.76,0.85,219.03,5.31,24.14,249.93,0.18,9.51
"2023-01-03T04:00:00+00:00",9.92,5.5,225.61,13.12,0.92,219.26,5.26,24.14,250.02,0.19,9.55
"2023-01-03T06:00:00+00:00",9.92,6.43,225.75,14.91,1.07,219.71,5.15,24.14,252.26,0.22,9.99
"2023-01-03T07:00:00+00:00",9.92,7.11,217.67,15.39,1.16,218.47,5.16,24.14,252.97,0.24,9.99
"2023-01-03T09:00:00+00:00",9.92,8.48,201.51,18.54,1.35,215.99,5.19,24.14,253.08,0.26,10.2
"2023-01-03T10:00:00+00:00",9.92,9.32,202.88,20.32,1.52,214.29,5.29,24.14,253.06,0.27,10.17
"2023-01-03T12:00:00+00:00",9.92,11,205.63,21.77,1.87,210.89,5.48,24.13,254.1,0.3,10.34
"2023-01-03T13:00:00+00:00",9.92,11.06,207.45,21.97,2,211.29,5.68,24.13,254.59,0.31,10.52
"2023-01-03T15:00:00+00:00",9.92,11.18,211.09,22.55,2.26,212.08,6.08,24.13,255.92,0.37,10.65
