Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2023-10-16T01:00:00+00:00",17.04,4.36,55.58,6.38,0.47,43.9,2.68,24.14,74.82,0.1,8.2
"2023-10-16T02:00:00+00:00",17.02,4.32,50.02,6.48,0.5,72.91,2.67,24.14,73.22,0.09,8.2
"2023-10-16T03:00:00+00:00",17,4.28,44.45,6.65,0.54,101.93,2.67,24.14,73.94,0.09,8.27
"2023-10-16T04:00:00+00:00",16.98,4.41,47.31,6.76,0.59,105.91,2.75,24.13,75.15,0.09,8.41
"2023-10-16T06:00:00+00:00",16.94,4.68,53.03,7.63,0.7,113.87,2.91,24.13,79.97,0.09,8.48
"2023-10-16T07:00:00+00:00",16.93,4.98,55.25,8.12,0.78,114.28,3.02,24.13,78.16,0.09,8.56
"2023-10-16T09:00:00+00:00",16.91,5.58,59.68,9.39,0.94,115.11,3.25,24.13,81.13,0.1,9.31
"2023-10-16T10:00:00+00:00",16.9,5.82,73.29,9.12,0.95,113.84,3.3,24.13,82.9,0.1,10.07
"2023-10-16T12:00:00+00:00",16.89,6.28,103.26,10.84,0.92,108.26,3.33,24.14,79.59,0.12,12.01
"2023-10-16T13:00:00+00:00",16.88,6.46,98.61,10.78,0.93,105.74,3.33,24.14,78.05,0.13,12.19
"2023-10-16T15:00:00+00:00",16.9,6.82,89.3,11.09,0.96,100.71,3.33,24.14,78.13,0.13,12.39
"2023-10-16T16:00:00+00:00",16.88,6.83,85.38,10.75,1.01,99.1,3.39,24.14,75.62,0.13,12.3
"2023-10-16T18:00:00+00:00",16.84,6.84,77.54,9.04,1.1,95.88,3.51,24.13,77.28,0.14,11.51
"2023-10-16T19:00:00+00:00",16.81,6.89,80.99,10.17,1.17,96.83,3.61,24.13,76.56,0.14,11.3
"2023-10-16T21:00:00+00:00",16.77,7,87.89,10.43,1.31,98.74,3.81,24.13,75.5,0.16,11.2
"2023-10-16T22:00:00+00:00",16.74,7.29,91.39,11.06,1.34,98.9,3.87,24.13,76.01,0.16,11.57
