Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2023-09-07T01:00:00+00:00",19.88,1.54,38.9,3.78,0.44,340.67,3.04,24.13,103.87,0.11,21.35
"2023-09-07T03:00:00+00:00",19.8,1.67,25.81,3.82,0.44,337.39,2.99,24.14,119.91,0.11,20.92
"2023-09-07T04:00:00+00:00",19.77,1.7,30.81,3.82,0.43,313.9,3.06,24.13,121.73,0.1,20.53
"2023-09-07T06:00:00+00:00",19.7,1.77,40.8,3.92,0.4,266.92,3.21,24.13,109.97,0.09,20.08
"2023-09-07T07:00:00+00:00",19.71,2.23,52.65,4.05,0.4,263.51,3.13,24.13,104.69,0.09,20.69
"2023-09-07T09:00:00+00:00",19.83,3.15,76.36,5.58,0.39,256.7,2.96,24.14,102.76,0.1,22.83
"2023-09-07T10:00:00+00:00",19.94,3.06,91.37,4.94,0.38,256.16,3.09,24.14,108.51,0.11,23.87
"2023-09-07T12:00:00+00:00",20.4,2.88,121.39,4.87,0.36,255.07,3.35,24.14,134.34,0.1,24.33
"2023-09-07T13:00:00+00:00",20.52,2.58,117.84,4.6,0.35,253.78,3.4,24.14,148.2,0.1,24.17
"2023-09-07T15:00:00+00:00",20.55,1.98,110.74,2.91,0.33,251.2,3.49,24.14,168.42,0.07,24.24
"2023-09-07T16:00:00+00:00",20.54,1.78,122.44,3.23,0.32,250.7,3.56,24.14,163,0.06,24.11
"2023-09-07T18:00:00+00:00",20.41,1.63,168.12,2.27,0.31,249.7,3.69,24.14,94.18,0.05,22.01
"2023-09-07T19:00:00+00:00",20.35,1.4,118.22,0.95,0.3,249.75,3.9,24.14,75.7,0.06,21.2
"2023-09-07T21:00:00+00:00",20.29,0.95,18.43,2.5,0.29,249.85,4.32,24.13,67.62,0.09,20.54
"2023-09-07T22:00:00+00:00",20.26,0.76,328.8,2.77,0.29,249.92,4.57,24.13,68.96,0.1,19.95
