Date and Time, Water Temperature, Wind Speed, Wind Direction, Gust, Wave Height, Wave Direction, Wave Period, Visibility, Direction of Current, Speed of Current, Air Temperature
"2022-11-02T02:00:00+00:00",15.26,10.43,261.51,15.85,2.33,219.5,5.48,24.14,254.02,0.65,11.54
"2022-11-02T03:00:00+00:00",15.22,9.23,263.42,13.6,2.2,220.4,5.37,24.14,253.76,0.63,11.33
"2022-11-02T04:00:00+00:00",15.19,8.52,259.85,11.24,2.06,222.2,5.19,24.14,253.64,0.6,11.27
"2022-11-02T05:00:00+00:00",15.17,7.82,256.27,10.26,1.93,224.8,5.06,24.14,253.29,0.58,11.34
"2022-11-02T06:00:00+00:00",15.14,7.11,252.7,11.12,1.83,227.6,4.9,24.14,252.6,0.55,11.74
"2022-11-02T07:00:00+00:00",15.13,7.55,244.08,11.92,1.76,229.9,4.82,24.13,251.87,0.52,12.3
"2022-11-02T09:00:00+00:00",15.11,8.44,226.84,15.23,1.7,231.5,4.75,24.13,249.57,0.46,13.66
"2022-11-02T10:00:00+00:00",15.11,9.16,222.89,16.34,1.69,230.6,4.7,24.13,248.6,0.44,14.08
"2022-11-02T13:00:00+00:00",15.11,11.02,211.67,18.51,1.76,223.9,4.73,24.13,249.15,0.39,14
"2022-11-02T15:00:00+00:00",15.1,11.85,205.04,18.99,1.8,218.9,4.69,24.14,252.97,0.4,14.57
"2022-11-02T16:00:00+00:00",15.09,12.38,205.05,20.74,1.82,217.2,4.67,24.14,254.53,0.42,14.97
"2022-11-02T18:00:00+00:00",15.06,13.43,205.07,20.85,1.9,216.3,4.7,24.14,256.33,0.46,15.18
"2022-11-02T19:00:00+00:00",15.05,13.45,209.4,21.12,1.97,216.3,4.75,19.51,256.77,0.48,14.99
"2022-11-02T21:00:00+00:00",15.03,13.2,211.08,20.24,2.16,214,4.95,10.25,257.87,0.51,14.57
"2022-11-02T22:00:00+00:00",15.02,12.74,214.9,19.74,2.27,211.4,4.99,9.02,257.82,0.52,14.53
